PERMIT TYPE,PERMIT #,PROJECT NAME,WORK TYPE,ADDRESS,LOCATION,X_COORD,Y_COORD,DATE SUBMITTED,DATE ISSUED,DECLARED VALUATION,AREA (SF),PRIMARY CONTACT,CD,NCD,HD
Plumbing General Permit,MEP-PLM-PMT22-34300001,638 Wyndale,,"638 WYNDALE DR, CITY OF SAN ANTONIO, TX 78209",,2147732.7,13733924.5,2022-01-01,2022-01-01,,,"DAVID F GONZALES, J&D PLUMBING",10,,
Foundation Repair Permit,REP-FND-PMT22-35100001,2419 TEXAS AVE,,"2419 TEXAS AVE, CITY OF SAN ANTONIO, TX 78228",,2109814.8,13711702.1,2021-12-17,2022-01-01,,,"ENRIQUE R VAZQUEZ, WORLD",7,,
Across the Street Banner,SIG-ASB-PMT22-20900001,1930 N IH 35,,"1930 IH 35, CITY OF SAN ANTONIO, TX 78208",,2138552,13707017.8,2022-01-01,2022-01-01,,,"HENRY P VAN DE PUTTE, JR, DIXIE FLAG / ALLIED INSTALLS",2,,
Across the Street Banner,SIG-ASB-PMT22-20900002,1930 N IH 35,,"1930 IH 35, CITY OF SAN ANTONIO, TX 78208",,2138552,13707017.8,2022-01-01,2022-01-01,,,"HENRY P VAN DE PUTTE, JR, DIXIE FLAG / ALLIED INSTALLS",2,,
Across the Street Banner,SIG-ASB-PMT22-20900003,1930 N IH 35,,"1930 IH 35, CITY OF SAN ANTONIO, TX 78208",,2138552,13707017.8,2022-01-01,2022-01-01,,,"HENRY P VAN DE PUTTE, JR, DIXIE FLAG / ALLIED INSTALLS",2,,
Across the Street Banner,SIG-ASB-PMT22-20900004,1930 N IH 35,,"1930 IH 35, CITY OF SAN ANTONIO, TX 78208",,2138552,13707017.8,2022-01-01,2022-01-01,,,"HENRY P VAN DE PUTTE, JR, DIXIE FLAG / ALLIED INSTALLS",2,,
Across the Street Banner,SIG-ASB-PMT22-20900005,1930 N IH 35,,"1930 IH 35, CITY OF SAN ANTONIO, TX 78208",,2138552,13707017.8,2022-01-01,2022-01-01,,,"HENRY P VAN DE PUTTE, JR, DIXIE FLAG / ALLIED INSTALLS",,,
Across the Street Banner,SIG-ASB-PMT22-20900006,1930 N IH 35,,"1930 IH 35, CITY OF SAN ANTONIO, TX 78208",,2138552,13707017.8,2022-01-01,2022-01-01,,,"HENRY P VAN DE PUTTE, JR, DIXIE FLAG / ALLIED INSTALLS",2,,
Plumbing Irrigation Permit,MEP-IRR-PMT22-34440471,Ana Ortega,,"3700 RIDGE COUNTRY, CITY OF SAN ANTONIO, TX 78247",,2149399.3,13749455.4,2021-12-15,2022-01-02,,,"SARA B ORTIZ, JAAM LANDSCAPE",10,,
Plumbing Irrigation Permit,MEP-IRR-PMT22-34441337,Legacy At Piedmont,,"822 HIGHLAND BLVD, CITY OF SAN ANTONIO, TX 78210",,2138165.3,13691902.9,2021-12-22,2022-01-02,,,JAMES DEATS,3,,
Across the Street Banner,SIG-ASB-PMT22-20900007,1930 N IH 35,,"1930 IH 35, CITY OF SAN ANTONIO, TX 78208",,2138552,13707017.8,2022-01-02,2022-01-02,,,"HENRY P VAN DE PUTTE, JR, DIXIE FLAG / ALLIED INSTALLS",2,,
Comm Fence Permit,COM-FEN-PMT21-40600059,"Site Work - Lift Stations Rehabilitation - Phase 5, GKDA Bldg. No. 197, LS #311",Other,"3500 GENERAL MCMULLEN, CITY OF SAN ANTONIO, TX 78226",,2108722,13684988,2021-05-18,2022-01-03,45328,0,AJA CALDERON,4,,
Comm Fence Permit,COM-FEN-PMT21-40600059,"Site Work - Lift Stations Rehabilitation - Phase 5, GKDA Bldg. No. 197, LS #311",Other,"3500 GENERAL MCMULLEN, CITY OF SAN ANTONIO, TX 78226",,2108722,13684988,2021-05-18,2022-01-03,45328,0,AJA CALDERON,5,,
Plumbing Irrigation Permit,COM-FEN-PMT21-40600066,ACCD-PAC Vineyard & Hops Yard - Fence Prt,Other,"1400 VILLARET BLVD, CITY OF SAN ANTONIO, TX 78224",,2113009,13665254,2021-05-18,2022-01-03,,,"AMANDA FLORES, PDI",4,,
Comm Remodel Permit,COM-RML-PMT21-40000205,Complex Plans,Existing,"4502 MEDICAL DR, CITY OF SAN ANTONIO, TX 78229",,2102436.6,13732699.2,2021-02-05,2022-01-03,1770633,5024,CLEARY ZIMMERMANN ENGINEERS,8,,
Electrical General Permit,COM-RML-PMT21-40000205,Complex Plans,Existing,"4502 MEDICAL DR, CITY OF SAN ANTONIO, TX 78229",,2102436.6,13732699.2,2021-02-05,2022-01-03,,,CLEARY ZIMMERMANN ENGINEERS,8,,
Mechanical Permit,COM-RML-PMT21-40000205,Complex Plans,Existing,"4502 MEDICAL DR, CITY OF SAN ANTONIO, TX 78229",,2102436.6,13732699.2,2021-02-05,2022-01-03,,,CLEARY ZIMMERMANN ENGINEERS,8,,
Plumbing General Permit,COM-RML-PMT21-40000205,Complex Plans,Existing,"4502 MEDICAL DR, CITY OF SAN ANTONIO, TX 78229",,2102436.6,13732699.2,2021-02-05,2022-01-03,,,CLEARY ZIMMERMANN ENGINEERS,8,,
Comm Remodel Permit,COM-RML-PMT21-40000488,Minor Plans - 110 and 112 Goliad Rd.- Landlord Required Modifications,Existing,"110 GOLIAD RD, CITY OF SAN ANTONIO, TX 78223",,2141924.2,13687408.9,2021-06-10,2022-01-03,130000,7977,"JAIME GALINDO, OPEN STUDIO ARCHITECTURE, PLLC",3,,
Comm Remodel Permit,COM-RML-PMT21-40000657,Complex Plans - Nexus Neurorecovery Center in San Antonio,Existing,"227 LEWIS ST, CITY OF SAN ANTONIO, TX 78212",,2128588.2,13707991,2021-06-16,2022-01-03,1800000,17560,THR3E DESIGN,1,,
Electrical General Permit,COM-RML-PMT21-40000657,Complex Plans - Nexus Neurorecovery Center in San Antonio,Existing,"227 LEWIS ST, CITY OF SAN ANTONIO, TX 78212",,2128588.2,13707991,2021-06-16,2022-01-03,,,THR3E DESIGN,1,,
Mechanical Permit,COM-RML-PMT21-40000657,Complex Plans - Nexus Neurorecovery Center in San Antonio,Existing,"227 LEWIS ST, CITY OF SAN ANTONIO, TX 78212",,2128588.2,13707991,2021-06-16,2022-01-03,,,THR3E DESIGN,1,,
Plumbing Gas Permit,COM-RML-PMT21-40000657,Complex Plans - Nexus Neurorecovery Center in San Antonio,Existing,"227 LEWIS ST, CITY OF SAN ANTONIO, TX 78212",,2128588.2,13707991,2021-06-16,2022-01-03,,,THR3E DESIGN,1,,
Plumbing General Permit,COM-RML-PMT21-40000657,Complex Plans - Nexus Neurorecovery Center in San Antonio,Existing,"227 LEWIS ST, CITY OF SAN ANTONIO, TX 78212",,2128588.2,13707991,2021-06-16,2022-01-03,,,THR3E DESIGN,1,,
Plumbing Sewer Permit,COM-RML-PMT21-40000657,Complex Plans - Nexus Neurorecovery Center in San Antonio,Existing,"227 LEWIS ST, CITY OF SAN ANTONIO, TX 78212",,2128588.2,13707991,2021-06-16,2022-01-03,,,THR3E DESIGN,1,,
Electrical General Permit,COM-RML-PMT21-40000719,**Migrated** Complex Plans - Sangerfest Kitchen Remodel at Six Flags,Existing,"17000 IH 10 W, CITY OF SAN ANTONIO, TX 78257",,2093009.6,13766180.7,2021-09-08,2022-01-03,,,"SOL STUDIOARCHITECTS, LLC",8,,
Mechanical Permit,COM-RML-PMT21-40000719,**Migrated** Complex Plans - Sangerfest Kitchen Remodel at Six Flags,Existing,"17000 IH 10 W, CITY OF SAN ANTONIO, TX 78257",,2093009.6,13766180.7,2021-09-08,2022-01-03,,,"SOL STUDIOARCHITECTS, LLC",8,,
Plumbing Gas Permit,COM-RML-PMT21-40000719,**Migrated** Complex Plans - Sangerfest Kitchen Remodel at Six Flags,Existing,"17000 IH 10 W, CITY OF SAN ANTONIO, TX 78257",,2093009.6,13766180.7,2021-09-08,2022-01-03,,,"SOL STUDIOARCHITECTS, LLC",8,,
Plumbing General Permit,COM-RML-PMT21-40000719,**Migrated** Complex Plans - Sangerfest Kitchen Remodel at Six Flags,Existing,"17000 IH 10 W, CITY OF SAN ANTONIO, TX 78257",,2093009.6,13766180.7,2021-09-08,2022-01-03,,,"SOL STUDIOARCHITECTS, LLC",8,,
Comm Remodel Permit,COM-RML-PMT21-40000931,Minor Plans Kohls Sephora,Existing,"10838 POTRANCO RD, CITY OF SAN ANTONIO, TX 78251",,2061623.9,13705694.8,2021-11-05,2022-01-03,300000,2500,TONY MOREFIELD,4,,
Electrical General Permit,COM-RML-PMT21-40000931,Minor Plans Kohls Sephora,Existing,"10838 POTRANCO RD, CITY OF SAN ANTONIO, TX 78251",,2061623.9,13705694.8,2021-11-05,2022-01-03,,,TONY MOREFIELD,4,,
Comm Sitework Permit,COM-SIT-PMT21-40100272,"Site Work - Lift Stations Rehabilitation - Phase 5, GKDA Bldg. No. 197, LS #311",New,"3500 GENERAL MCMULLEN, CITY OF SAN ANTONIO, TX 78226",,2108722,13684988,2021-05-18,2022-01-03,45328,0,AJA CALDERON,4,,
Comm Sitework Permit,COM-SIT-PMT21-40100272,"Site Work - Lift Stations Rehabilitation - Phase 5, GKDA Bldg. No. 197, LS #311",New,"3500 GENERAL MCMULLEN, CITY OF SAN ANTONIO, TX 78226",,2108722,13684988,2021-05-18,2022-01-03,45328,0,AJA CALDERON,5,,
Electrical General Permit,MEP-ELE-PMT22-33300003,MARTIN,,"422 MINTER, CITY OF SAN ANTONIO, TX 78207",,2116454.7,13702265.6,2022-01-02,2022-01-03,,,MIGUEL NAVARRO,5,,
Electrical General Permit,MEP-ELE-PMT22-33300008,Electrical General Permit,,"318 SMALLWOOD DR, CITY OF SAN ANTONIO, TX 78210",,2149921.2,13690146.3,2022-01-03,2022-01-03,,,SG3 ELECTRIC LLC,3,,
Electrical General Permit,MEP-ELE-PMT22-33300026,Electrical General Permit,,"1219 NOLAN ST, CITY OF SAN ANTONIO, TX 78202",,2138840.4,13703497.6,2022-01-03,2022-01-03,,,A-1 METRO ELECTRIC,2,,
Electrical General Permit,MEP-ELE-PMT22-33339956,Electrical General Permit,,"1310 WAGNER AVE, CITY OF SAN ANTONIO, TX 78211",,2115272.2,13680384,2021-12-13,2022-01-03,,,LONGHORN ELECTRICAL CONTRACTIN,5,,
Electrical General Permit,MEP-ELE-PMT22-33341720,Elements Massage La Cantera Heights South Shopping Center,,"17038 FIESTA TEXAS DR, CITY OF SAN ANTONIO, TX 78256",,2094477.8,13767280.3,2021-12-29,2022-01-03,,,"KRISTOFFER V ROWANS, TOP FLIGHT ELECTRIC, LLC",8,,
Electrical General Permit,MEP-ELE-PMT22-33341840,CM / Texas,,"1805 TEXAS AVE, CITY OF SAN ANTONIO, TX 78228",,2114853.7,13711519.8,2021-12-30,2022-01-03,,,"MANUEL VALLEJO, VALLEJO ELECTRIC",7,NCD-8 Woodlawn Lake,
Electrical General Permit,MEP-ELE-PMT22-33341843,CM / Texas,,"1803 TEXAS AVE, CITY OF SAN ANTONIO, TX 78228",,2114899,13711477.4,2021-12-30,2022-01-03,,,"MANUEL VALLEJO, VALLEJO ELECTRIC",7,NCD-8 Woodlawn Lake,
Electrical General Permit,MEP-ELE-PMT22-33341844,CM / WILSON,,"411 WILSON BLVD, CITY OF SAN ANTONIO, TX 78228",,2114907.9,13711562.6,2021-12-30,2022-01-03,,,"MANUEL VALLEJO, VALLEJO ELECTRIC",7,NCD-8 Woodlawn Lake,
Electrical General Permit,MEP-ELE-PMT22-33341846,CM / WILSON,,"407 WILSON BLVD, CITY OF SAN ANTONIO, TX 78228",,2114903.9,13711520.8,2021-12-30,2022-01-03,,,"MANUEL VALLEJO, VALLEJO ELECTRIC",7,NCD-8 Woodlawn Lake,
