pin14,year,month,price,class,sqftl,age,sqftb,rooms,bedrooms,basement,aircond,fireplace,attic,bathrooms,garage1,garage2,longitude,latitude,brick
09253050350000,2006,2,354000,203,4875,50,1158,5,3,1,1,0,0,1.5,0,1,-87.8203199606389,42.017485857473,1
09254150090000,2004,12,260000,203,3750,49,1057,5,2,1,1,0,0,1,1,0,-87.8086684637628,42.0162777395726,1
09254170410000,2002,10,279500,207,4750,55,1522,6,4,1,1,0,0,1.5,0,1,-87.8154946290959,42.0140457594361,1
09254170460000,1999,7,250000,207,6486,53,1264,6,3,1,0,1,0,1.5,0,1,-87.8154881588747,42.0148167243356,1
09254210530000,2002,5,250000,203,4500,63,1476,6,3,1,0,0,1,1,0,0,-87.8111285884392,42.0145904913421,1
09254210830000,1998,7,220900,207,6250,58,1311,6,3,1,0,0,0,1,0,1,-87.8106073941202,42.0148825027681,1
09254240400000,2015,11,318000,234,4526,48,1094,5,3,0,0,0,0,1.5,0,1,-87.8074623861922,42.0151777405469,1
09254310010000,1991,9,144000,203,4244,49,1014,4,2,1,1,0,0,1,1,0,-87.8087037393985,42.0133389835563,0
09254310010000,1997,8,176000,203,4244,49,1014,4,2,1,1,0,0,1,1,0,-87.8087037393985,42.0133389835563,0
09362110080000,1991,10,174000,203,7350,77,1386,6,3,1,0,1,1,1.5,0,1,-87.8118775,42.0087755,1
09362140220000,1995,5,188000,203,4968,52,1081,5,2,1,1,0,0,1,0,1,-87.809307,42.00828,1
09362170040000,1997,8,262000,204,7350,81,1865,6,3,1,0,1,1,2,1,0,-87.8146632588294,42.0072955210316,1
09362220220000,1999,6,247000,205,4725,65,1776,7,4,1,1,1,1,1.5,0,1,-87.8093275,42.0064835,1
09362220220000,2010,5,382500,205,4725,65,1776,7,4,1,1,1,1,1.5,0,1,-87.8093275,42.0064835,1
09362220220000,2013,9,495000,205,4725,65,1776,7,4,1,1,1,1,1.5,0,1,-87.8093275,42.0064835,1
09362260400000,1990,7,170000,203,4410,35,1248,6,3,1,1,0,0,1.5,0,1,-87.8133139648362,42.0047287343193,1
09363150280000,2006,8,342000,202,3100,74,995,5,2,1,0,0,1,1,0,1,-87.8168635,41.9995025,1
10253010320000,2004,7,369000,207,3720,51,1763,6,3,1,1,0,0,1.5,0,1,-87.7056165,42.0185525,1
10253070050000,1997,10,160000,203,3720,51,1218,6,3,1,1,1,0,1,0,0,-87.7013007188236,42.0181230033449,1
10253070050000,2005,5,364000,203,3720,51,1218,6,3,1,1,1,0,1,0,0,-87.7013007188236,42.0181230033449,1
10253110400000,1992,9,175000,203,5580,49,1541,6,3,1,0,0,0,1,0,0,-87.7007925121983,42.0172270810722,1
10253250240000,1991,4,139000,207,3750,50,1578,6,3,1,1,0,0,1.5,0,1,-87.7081404731753,42.0134382453066,1
10253250240000,1994,8,150000,207,3750,50,1578,6,3,1,1,0,0,1.5,0,1,-87.7081404731753,42.0134382453066,1
10253250240000,1999,6,200000,207,3750,50,1578,6,3,1,1,0,0,1.5,0,1,-87.7081404731753,42.0134382453066,1
10254030320000,1992,12,146680,207,3720,62,1488,7,3,1,1,1,0,2.5,0,1,-87.6980395,42.017809,1
10254120160000,2002,10,337000,203,6000,53,1784,7,4,1,1,1,0,2.5,0,1,-87.6981274148404,42.0158920019958,1
10254300400000,1993,1,120000,295,1242,44,1280,6,3,1,1,0,0,1.5,0,0,-87.6940125,42.0182755,1
10254300400000,1997,6,125000,295,1242,44,1280,6,3,1,1,0,0,1.5,0,0,-87.6940125,42.0182755,1
10314060140000,1994,9,173000,202,3750,62,960,5,2,1,0,0,1,1,1,0,-87.7952467523961,42.0003042420598,1
10314060140000,1999,7,228000,202,3750,62,960,5,2,1,0,0,1,1,1,0,-87.7952467523961,42.0003042420598,1
10314060140000,2001,10,266900,202,3750,62,960,5,2,1,0,0,1,1,1,0,-87.7952467523961,42.0003042420598,1
10314060140000,2005,3,350000,202,3750,62,960,5,2,1,0,0,1,1,1,0,-87.7952467523961,42.0003042420598,1
10314160420000,1998,2,254000,203,4375,49,1185,4,3,0,0,0,0,1,0,0,-87.7910695,41.997594,0
10314160420000,2010,6,348750,203,4375,49,1185,4,3,0,0,0,0,1,0,0,-87.7910695,41.997594,0
10321150150000,1993,10,230000,203,11340,54,1274,5,3,1,0,1,0,1.5,0,0,-87.7823585,42.00746,1
10321160380000,2010,6,378000,203,5000,53,1052,4,2,0,0,0,0,1,1,0,-87.7799768800276,42.0100306324903,0
10323010040000,1990,1,207000,278,6750,62,2221,9,5,0,0,1,1,2.5,0,0,-87.7803403056856,42.0040482421523,1
10323010040000,1998,7,283000,278,6750,62,2221,9,5,0,0,1,1,2.5,0,0,-87.7803403056856,42.0040482421523,1
10334300190000,1996,11,199000,203,4004,52,1076,4,2,0,0,0,0,1,1,0,-87.7564973018667,41.9977834027894,0
10334300290000,1999,3,192500,203,3485,48,1175,5,3,1,1,0,0,1,1,0,-87.7565247003341,41.9975803054638,1
10362000450000,1998,7,315000,278,5580,53,2378,9,4,1,1,1,0,2.5,0,1,-87.6975587522037,42.0114770059175,1
10362060310000,2000,1,333000,211,4092,47,3421,12,6,1,1,0,0,4,0,1,-87.6939037492861,42.0106490377338,1
10362200030000,1994,10,187000,203,4092,78,1597,7,3,1,0,0,0,1.5,0,1,-87.6969509999033,42.007351516395,1
10363060030000,1996,2,140000,202,3750,51,960,4,2,1,1,0,0,1,0,0,-87.700627,42.0045495,1
10363070180000,2002,3,285000,204,5645,77,1818,7,3,1,0,1,1,1.5,0,1,-87.7054901633997,42.001256642955,1
10363150290000,2005,7,280000,203,4125,52,1125,6,3,1,1,0,0,1,0,0,-87.7054861664748,42.0006982263875,1
10363210550000,1990,11,98100,295,2250,51,1147,4,2,1,0,0,0,1,0,0,-87.707870681114,41.9986642417729,1
10363210550000,2000,11,167500,295,2250,51,1147,4,2,1,0,0,0,1,0,0,-87.707870681114,41.9986642417729,1
10363220190000,2015,4,180000,203,4000,50,1238,5,2,0,1,0,0,1.5,0,0,-87.706125,41.998325,1
10363220190000,2016,4,280000,203,4000,50,1238,5,2,0,1,0,0,1.5,0,0,-87.706125,41.998325,1
10364050330000,1997,3,190000,207,4125,56,1494,6,3,1,0,1,0,1.5,0,1,-87.6933705912318,42.0047352569566,1
10364060030000,2005,6,532600,203,4688,78,1681,6,4,1,0,0,1,2,1,0,-87.6921452431431,42.0045659814201,1
10364060030000,2012,8,100000,203,4688,78,1681,6,4,1,0,0,1,2,1,0,-87.6921452431431,42.0045659814201,1
10364060030000,2012,11,167500,203,4688,78,1681,6,4,1,0,0,1,2,1,0,-87.6921452431431,42.0045659814201,1
10364060030000,2013,8,435000,203,4688,78,1681,6,4,1,0,0,1,2,1,0,-87.6921452431431,42.0045659814201,1
10364080250000,2002,1,230000,204,4125,78,2041,7,4,1,0,0,1,2,0,1,-87.6989120756874,42.0027192581851,1
10364080250000,2002,8,403000,204,4125,78,2041,7,4,1,0,0,1,2,0,1,-87.6989120756874,42.0027192581851,1
10364080250000,2005,2,510000,204,4125,78,2041,7,4,1,0,0,1,2,0,1,-87.6989120756874,42.0027192581851,1
10364170150000,2005,4,300000,203,4125,80,1300,7,3,1,0,0,1,1.5,0,1,-87.698136,41.9997395,1
10364200060000,1994,4,128000,205,4688,82,1528,7,3,1,0,1,0,2,1,0,-87.6944925,42.0006405,0
10364200060000,2015,8,271000,205,4688,82,1528,7,3,1,0,1,0,2,1,0,-87.6944925,42.0006405,0
10364210360000,2007,3,400000,203,5551,81,1428,6,4,1,0,0,1,2,0,1,-87.6932465,41.999635,1
10364210360000,2014,9,330000,203,5551,81,1428,6,4,1,0,0,1,2,0,1,-87.6932465,41.999635,1
10364220270000,1997,5,130000,203,4688,84,1326,5,3,1,0,0,1,1,0,1,-87.691514243077,41.9999714814408,1
10364230020000,1990,3,110000,203,3750,80,1140,7,3,1,0,0,1,1,0,0,-87.690843,42.001146,1
10364230020000,2003,7,324900,203,3750,80,1140,7,3,1,0,0,1,1,0,0,-87.690843,42.001146,1
11303020310000,1992,10,200000,211,6248,50,3348,12,6,1,0,0,0,3,0,1,-87.6892398783027,42.0164974820874,1
11303071690000,2007,11,255000,295,1359,45,1240,6,3,0,1,0,0,1.5,0,0,-87.6853994269479,42.0178865155364,1
